YYYY DOY   X(au)   Y(au)   Z(au)
1977 249    0.80   -0.60    0.13
1977 251    0.46   -0.89    0.13
1977 253    0.03   -1.00    0.13
1977 255   -0.41   -0.91    0.13
1977 257   -0.77   -0.65    0.13
1977 259   -0.98   -0.25    0.13
1977 261   -1.00    0.20    0.13
1977 263   -0.81    0.62    0.13
1977 265   -0.47    0.92    0.13
1977 267   -0.02    1.04    0.13
1977 269    0.44    0.95    0.13
1977 271    0.83    0.67    0.13
1977 273    1.04    0.24    0.13
1977 275    1.05   -0.25    0.13
1977 277    0.85   -0.69    0.13
1977 279    0.46   -1.00    0.13
1977 281   -0.03   -1.12    0.13
1977 283   -0.53   -1.00    0.13
1977 285   -0.93   -0.67    0.12
1977 287   -1.15   -0.19    0.12
1977 289   -1.12    0.35    0.12
1977 291   -0.86    0.82    0.12
1977 293   -0.41    1.13    0.12
1977 295    0.14    1.22    0.12
1977 297    0.69    1.04    0.12
1977 299    1.09    0.63    0.11
1977 301    1.27    0.07    0.11
1977 303    1.19   -0.52    0.11
1977 305    0.84   -1.01    0.11
1977 307    0.29   -1.29    0.10
1977 309   -0.33   -1.30    0.10
1977 311   -0.90   -1.03    0.10
1977 313   -1.29   -0.52    0.10
1977 315   -1.40    0.13    0.10
1977 317   -1.21    0.76    0.09
1977 319   -0.74    1.24    0.09
1977 321   -0.09    1.46    0.09
1977 323    0.59    1.36    0.09
1977 325    1.16    0.95    0.08
1977 327    1.48    0.32    0.08
1977 329    1.48   -0.40    0.08
1977 331    1.15   -1.05    0.08
1977 333    0.54   -1.48    0.07
1977 335   -0.20   -1.59    0.07
1977 337   -0.92   -1.33    0.07
1977 339   -1.44   -0.77    0.07
1977 341   -1.66   -0.02    0.06
1977 343   -1.51    0.76    0.06
1977 345   -1.00    1.38    0.06
1977 347   -0.25    1.71    0.06
1977 349    0.57    1.65    0.05
1977 351    1.29    1.22    0.05
1977 353    1.72    0.49    0.05
1977 355    1.77   -0.37    0.05
1977 357    1.42   -1.16    0.04
1977 359    0.73   -1.70    0.04
1977 361   -0.15   -1.86    0.04
1977 363   -1.00   -1.60    0.04
1977 365   -1.65   -0.96    0.03
1978   2   -1.93   -0.09    0.03
1978   4   -1.77    0.82    0.03
1978   6   -1.19    1.57    0.02
1978   8   -0.33    1.96    0.02
1978  10    0.62    1.91    0.02
1978  12    1.46    1.41    0.02
1978  14    1.97    0.58    0.01
1978  16    2.03   -0.41    0.01
1978  18    1.62   -1.32    0.01
1978  20    0.83   -1.94    0.00
1978  22   -0.17   -2.12    0.00
1978  24   -1.16   -1.81    0.00
1978  26   -1.88   -1.08   -0.00
1978  28   -2.19   -0.07   -0.00
1978  30   -1.99    0.97   -0.01
1978  32   -1.32    1.80   -0.01
1978  34   -0.33    2.23   -0.02
1978  36    0.75    2.14   -0.02
1978  38    1.68    1.55   -0.02
1978  40    2.23    0.59   -0.02
1978  42    2.27   -0.53   -0.02
1978  44    1.78   -1.54   -0.03
1978  46    0.86   -2.21   -0.03
1978  48   -0.28   -2.37   -0.03
1978  50   -1.37   -1.98   -0.04
1978  52   -2.16   -1.12   -0.04
1978  54   -2.45    0.02   -0.04
1978  56   -2.17    1.17   -0.04
1978  58   -1.37    2.07   -0.05
1978  60   -0.25    2.49   -0.05
1978  62    0.96    2.33   -0.05
1978  64    1.95    1.63   -0.05
1978  66    2.51    0.52   -0.06
1978  68    2.48   -0.72   -0.06
1978  70    1.87   -1.81   -0.06
1978  72    0.81   -2.49   -0.06
1978  74   -0.46   -2.60   -0.07
1978  76   -1.63   -2.08   -0.07
1978  78   -2.44   -1.08   -0.07
1978  80   -2.68    0.19   -0.08
1978  82   -2.29    1.44   -0.08
1978  84   -1.36    2.37   -0.08
1978  86   -0.09    2.75   -0.09
1978  88    1.22    2.48   -0.09
1978  90    2.25    1.63   -0.09
1978  92    2.77    0.38   -0.09
1978  94    2.64   -0.98   -0.09
1978  96    1.89   -2.12   -0.10
1978  98    0.68   -2.78   -0.10
1978 100   -0.72   -2.79   -0.11
1978 102   -1.95   -2.13   -0.11
1978 104   -2.74   -0.97   -0.11
1978 106   -2.89    0.44   -0.11
1978 108   -2.37    1.76   -0.11
1978 110   -1.26    2.67   -0.11
1978 112    0.15    2.97   -0.12
1978 114    1.53    2.57   -0.12
1978 116    2.58    1.56   -0.12
1978 118    3.03    0.16   -0.13
1978 120    2.76   -1.29   -0.13
1978 122    1.84   -2.46   -0.13
1978 124    0.47   -3.05   -0.13
1978 126   -1.03   -2.93   -0.14
1978 128   -2.29   -2.11   -0.14
1978 130   -3.04   -0.79   -0.14
1978 132   -3.07    0.74   -0.14
1978 134   -2.36    2.11   -0.14
1978 136   -1.10    2.99   -0.15
1978 138    0.45    3.18   -0.15
1978 140    1.90    2.61   -0.15
1978 142    2.91    1.41   -0.16
1978 144    3.25   -0.13   -0.16
1978 146    2.83   -1.66   -0.16
1978 148    1.71   -2.80   -0.17
1978 150    0.19   -3.30   -0.17
1978 152   -1.39   -3.02   -0.17
1978 154   -2.66   -2.01   -0.17
1978 156   -3.31   -0.52   -0.18
1978 158   -3.19    1.11   -0.18
1978 160   -2.29    2.49   -0.18
1978 162   -0.85    3.30   -0.18
1978 164    0.81    3.33   -0.19
1978 166    2.29    2.56   -0.19
1978 168    3.24    1.19   -0.19
1978 170    3.44   -0.49   -0.19
1978 172    2.81   -2.06   -0.19
1978 174    1.51   -3.16   -0.20
1978 176   -0.15   -3.51   -0.20
1978 178   -1.80   -3.04   -0.20
1978 180   -3.04   -1.84   -0.20
1978 182   -3.56   -0.19   -0.21
1978 184   -3.24    1.53   -0.21
1978 186   -2.15    2.89   -0.21
1978 188   -0.53    3.57   -0.21
1978 190    1.22    3.42   -0.22
1978 192    2.70    2.44   -0.22
1978 194    3.55    0.89   -0.22
1978 196    3.56   -0.90   -0.22
1978 198    2.73   -2.49   -0.23
1978 200    1.23   -3.50   -0.23
1978 202   -0.56   -3.68   -0.23
1978 204   -2.25   -2.99   -0.24
1978 206   -3.40   -1.58   -0.24
1978 208   -3.77    0.22   -0.24
1978 210   -3.23    1.98   -0.24
1978 212   -1.92    3.28   -0.24
1978 214   -0.15    3.81   -0.25
1978 216    1.68    3.44   -0.25
1978 218    3.12    2.25   -0.25
1978 220    3.83    0.51   -0.25
1978 222    3.63   -1.37   -0.25
1978 224    2.56   -2.93   -0.26
1978 226    0.88   -3.81   -0.26
1978 228   -1.03   -3.78   -0.26
1978 230   -2.71   -2.86   -0.26
1978 232   -3.75   -1.25   -0.26
1978 234   -3.91    0.68   -0.26
1978 236   -3.14    2.45   -0.27
1978 238   -1.61    3.66   -0.27
1978 240    0.31    4.00   -0.27
1978 242    2.17    3.39   -0.27
1978 244    3.53    1.97   -0.28
1978 246    4.05    0.07   -0.28
1978 248    3.62   -1.86   -0.28
1978 250    2.32   -3.36   -0.29
1978 252    0.45   -4.08   -0.29
1978 254   -1.53   -3.81   -0.29
1978 256   -3.17   -2.65   -0.29
1978 258   -4.05   -0.84   -0.30
1978 260   -3.99    1.18   -0.30
1978 262   -2.96    2.93   -0.30
1978 264   -1.23    3.99   -0.30
1978 266    0.82    4.12   -0.30
