YYYY DOY   X(au)   Y(au)   Z(au)
1977 249   -0.03   -1.00    0.13
1977 251    0.01   -1.00    0.13
1977 253    0.06   -1.00    0.13
1977 255    0.10   -1.00    0.13
1977 257    0.15   -1.00    0.13
1977 259    0.19   -0.99    0.13
1977 261    0.24   -0.99    0.13
1977 263    0.28   -0.98    0.13
1977 265    0.33   -0.98    0.13
1977 267    0.37   -0.97    0.13
1977 269    0.42   -0.97    0.13
1977 271    0.46   -0.96    0.13
1977 273    0.51   -0.95    0.13
1977 275    0.55   -0.93    0.13
1977 277    0.59   -0.92    0.13
1977 279    0.63   -0.91    0.13
1977 281    0.67   -0.90    0.13
1977 283    0.71   -0.88    0.13
1977 285    0.75   -0.86    0.12
1977 287    0.79   -0.85    0.12
1977 289    0.83   -0.83    0.12
1977 291    0.87   -0.82    0.12
1977 293    0.90   -0.80    0.12
1977 295    0.94   -0.78    0.12
1977 297    0.98   -0.76    0.12
1977 299    1.01   -0.74    0.11
1977 301    1.05   -0.72    0.11
1977 303    1.09   -0.70    0.11
1977 305    1.12   -0.69    0.11
1977 307    1.15   -0.66    0.10
1977 309    1.18   -0.64    0.10
1977 311    1.22   -0.62    0.10
1977 313    1.25   -0.60    0.10
1977 315    1.28   -0.58    0.10
1977 317    1.31   -0.56    0.09
1977 319    1.35   -0.53    0.09
1977 321    1.38   -0.51    0.09
1977 323    1.40   -0.49    0.09
1977 325    1.42   -0.46    0.08
1977 327    1.45   -0.44    0.08
1977 329    1.48   -0.42    0.08
1977 331    1.51   -0.39    0.08
1977 333    1.53   -0.37    0.07
1977 335    1.56   -0.35    0.07
1977 337    1.59   -0.32    0.07
1977 339    1.61   -0.30    0.07
1977 341    1.64   -0.28    0.06
1977 343    1.67   -0.25    0.06
1977 345    1.69   -0.23    0.06
1977 347    1.72   -0.20    0.06
1977 349    1.74   -0.18    0.05
1977 351    1.76   -0.16    0.05
1977 353    1.78   -0.13    0.05
1977 355    1.81   -0.11    0.05
1977 357    1.83   -0.08    0.04
1977 359    1.85   -0.06    0.04
1977 361    1.87   -0.04    0.04
1977 363    1.89   -0.01    0.04
1977 365    1.91    0.01    0.03
1978   2    1.93    0.04    0.03
1978   4    1.95    0.06    0.03
1978   6    1.97    0.09    0.02
1978   8    1.99    0.11    0.02
1978  10    2.01    0.13    0.02
1978  12    2.02    0.16    0.02
1978  14    2.04    0.18    0.01
1978  16    2.06    0.21    0.01
1978  18    2.08    0.23    0.01
1978  20    2.09    0.25    0.00
1978  22    2.11    0.28    0.00
1978  24    2.13    0.30    0.00
1978  26    2.15    0.32   -0.00
1978  28    2.16    0.35   -0.00
1978  30    2.18    0.37   -0.01
1978  32    2.19    0.39   -0.01
1978  34    2.21    0.42   -0.02
1978  36    2.23    0.44   -0.02
1978  38    2.24    0.47   -0.02
