YYYY DOY   X(au)   Y(au)   Z(au)
1977 249    0.97   -0.28    0.00
1977 251    0.98   -0.24    0.00
1977 253    0.99   -0.19    0.00
1977 255    1.00   -0.15    0.00
1977 257    1.01   -0.10    0.00
1977 259    1.02   -0.06    0.00
1977 261    1.03   -0.01    0.01
1977 263    1.03    0.03    0.01
1977 265    1.04    0.08    0.01
1977 267    1.04    0.12    0.01
1977 269    1.05    0.17    0.01
1977 271    1.05    0.21    0.01
1977 273    1.05    0.25    0.01
1977 275    1.05    0.30    0.01
1977 277    1.05    0.34    0.01
1977 279    1.04    0.39    0.01
1977 281    1.04    0.43    0.01
1977 283    1.04    0.47    0.01
1977 285    1.03    0.51    0.01
1977 287    1.03    0.56    0.01
1977 289    1.02    0.60    0.02
1977 291    1.01    0.64    0.02
1977 293    1.00    0.68    0.02
1977 295    1.00    0.72    0.02
1977 297    0.99    0.76    0.02
1977 299    0.97    0.80    0.02
1977 301    0.97    0.84    0.02
1977 303    0.96    0.88    0.02
1977 305    0.95    0.92    0.02
1977 307    0.93    0.95    0.02
1977 309    0.92    0.99    0.02
1977 311    0.91    1.03    0.02
1977 313    0.90    1.06    0.02
1977 315    0.88    1.10    0.02
1977 317    0.87    1.14    0.02
1977 319    0.85    1.17    0.03
1977 321    0.84    1.21    0.03
1977 323    0.83    1.24    0.03
1977 325    0.81    1.26    0.03
1977 327    0.79    1.30    0.03
1977 329    0.77    1.33    0.03
1977 331    0.76    1.36    0.03
1977 333    0.74    1.39    0.03
1977 335    0.73    1.43    0.03
1977 337    0.71    1.46    0.03
1977 339    0.69    1.49    0.03
1977 341    0.68    1.52    0.03
1977 343    0.66    1.55    0.03
1977 345    0.64    1.58    0.03
1977 347    0.63    1.61    0.03
1977 349    0.61    1.64    0.03
1977 351    0.59    1.67    0.03
1977 353    0.57    1.70    0.03
1977 355    0.55    1.72    0.03
1977 357    0.53    1.75    0.03
1977 359    0.52    1.78    0.03
1977 361    0.50    1.80    0.03
1977 363    0.48    1.83    0.03
1977 365    0.46    1.85    0.03
1978   2    0.44    1.88    0.03
1978   4    0.43    1.90    0.03
1978   6    0.41    1.93    0.03
1978   8    0.39    1.95    0.03
1978  10    0.37    1.98    0.04
1978  12    0.35    2.00    0.04
1978  14    0.33    2.02    0.04
1978  16    0.31    2.05    0.04
1978  18    0.29    2.07    0.04
1978  20    0.27    2.09    0.04
1978  22    0.25    2.11    0.04
1978  24    0.23    2.14    0.04
1978  26    0.22    2.16    0.04
1978  28    0.19    2.18    0.04
1978  30    0.18    2.20    0.04
1978  32    0.16    2.22    0.04
1978  34    0.14    2.25    0.04
1978  36    0.12    2.27    0.04
1978  38    0.10    2.29    0.04
1978  40    0.08    2.31    0.04
1978  42    0.06    2.33    0.04
1978  44    0.04    2.35    0.04
1978  46    0.02    2.37    0.04
1978  48    0.00    2.39    0.04
1978  50   -0.02    2.41    0.04
1978  52   -0.04    2.43    0.04
1978  54   -0.06    2.45    0.04
1978  56   -0.08    2.47    0.04
1978  58   -0.10    2.48    0.04
1978  60   -0.11    2.50    0.04
1978  62   -0.13    2.52    0.04
1978  64   -0.16    2.53    0.04
1978  66   -0.17    2.55    0.04
1978  68   -0.19    2.57    0.05
1978  70   -0.21    2.59    0.05
1978  72   -0.23    2.61    0.05
1978  74   -0.25    2.63    0.05
1978  76   -0.27    2.64    0.04
1978  78   -0.29    2.65    0.04
1978  80   -0.31    2.67    0.04
1978  82   -0.33    2.69    0.04
1978  84   -0.35    2.71    0.04
1978  86   -0.36    2.73    0.04
1978  88   -0.39    2.74    0.04
1978  90   -0.40    2.75    0.04
1978  92   -0.42    2.77    0.04
1978  94   -0.44    2.78    0.04
1978  96   -0.46    2.80    0.04
1978  98   -0.48    2.82    0.04
1978 100   -0.50    2.84    0.05
1978 102   -0.52    2.84    0.05
1978 104   -0.54    2.86    0.05
1978 106   -0.55    2.88    0.05
1978 108   -0.57    2.89    0.05
1978 110   -0.59    2.90    0.05
1978 112   -0.61    2.92    0.05
1978 114   -0.63    2.93    0.05
1978 116   -0.65    2.95    0.05
1978 118   -0.67    2.97    0.05
1978 120   -0.69    2.97    0.05
1978 122   -0.71    2.99    0.05
1978 124   -0.73    3.00    0.05
1978 126   -0.74    3.02    0.05
1978 128   -0.76    3.03    0.05
1978 130   -0.78    3.04    0.05
1978 132   -0.80    3.06    0.05
1978 134   -0.82    3.06    0.05
1978 136   -0.84    3.08    0.05
1978 138   -0.85    3.09    0.05
1978 140   -0.87    3.11    0.05
1978 142   -0.89    3.11    0.05
1978 144   -0.91    3.13    0.05
1978 146   -0.93    3.15    0.05
1978 148   -0.95    3.15    0.05
1978 150   -0.96    3.17    0.05
1978 152   -0.98    3.18    0.05
1978 154   -1.00    3.19    0.05
1978 156   -1.02    3.20    0.05
1978 158   -1.04    3.22    0.05
1978 160   -1.05    3.22    0.05
1978 162   -1.07    3.24    0.05
1978 164   -1.09    3.25    0.05
1978 166   -1.11    3.26    0.05
1978 168   -1.13    3.27    0.05
1978 170   -1.14    3.29    0.05
1978 172   -1.16    3.29    0.05
1978 174   -1.18    3.30    0.05
1978 176   -1.20    3.31    0.05
1978 178   -1.22    3.32    0.05
1978 180   -1.23    3.34    0.05
1978 182   -1.25    3.34    0.05
1978 184   -1.27    3.36    0.05
1978 186   -1.29    3.37    0.05
